Label,PRESSURE_ZONE,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,shallow_main,Condition_score,OVERSIZED,CLEANED,Shape__Length,Installation_Month,Installation_Year,Break_Time
0,KIT 6,TREATED,450,DI,NO,NONE,DONATED,DUAL CITY AND REGION,N,6,6,8,N,N,8.5,N,Y,14.956130761421,1,1979,45.0
0,KIT 6,TREATED,450,DI,NO,NONE,DONATED,DUAL CITY AND REGION,N,7,6,7,N,N,8.5,N,N,124.970064901045,1,1979,45.0
0,KIT 6,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,39,N,N,9.35,N,Y,69.5697443098412,6,2006,18.0
0,KIT 5,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,24,N,N,9.35,N,Y,8.32157024593635,1,2006,18.0
0,KIT 2W,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,0,5,32,N,N,8.5,N,N,0.752106907436349,1,1980,44.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,1,10,N,N,4.95,N,N,198.637432559784,1,1951,48.0
0,KIT 2W,TREATED,200,DI,NO,NONE,DONATED,KITCHENER,N,6,5,30,N,N,8.5,N,N,206.477449859051,1,1977,47.0
0,KIT 4,TREATED,300,CI,NO,NONE,DONATED,KITCHENER,N,7,2,11,N,N,7.75,N,N,32.9035419609398,1,1951,73.0
1,KIT 4,TREATED,100,CI,NO,NONE,DONATED,KITCHENER,N,6,1,19,N,N,3.83,N,N,58.6602396773349,6,1955,50.0
0,KIT 5,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,6,21,N,N,8.5,N,N,69.3211487464135,1,1974,50.0
0,KIT 4,TREATED,200,DI,NO,NONE,DONATED,KITCHENER,N,6,4,29,N,N,9.1,N,Y,208.250577432994,6,1985,39.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,4,12,N,N,8.5,N,N,18.3465366704289,10,1981,43.0
1,KIT 4,TREATED,200,CI,NO,NONE,PURCHASED,KITCHENER,N,7,5,17,N,Y,4.6,N,N,209.861418383568,9,1967,42.0
0,KIT 4,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,3,10,N,N,9.1,N,N,7.99427576195268,1,1993,31.0
0,KIT 5,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,7.58761335870817,1,1976,48.0
0,KIT 5,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,1.52578042931212,1,1976,48.0
0,KIT 4,TREATED,200,DI,NO,NONE,PURCHASED,KITCHENER,N,7,2,22,N,N,9.1,N,N,12.8581470270423,6,1985,39.0
0,KIT 4,TREATED,200,CI,NO,NONE,PURCHASED,KITCHENER,N,8,2,21,N,N,7.75,N,N,1.80619290713966,1,1961,63.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,2,39,N,N,6.9,N,N,253.70651059339,1,1947,74.0
0,KIT 4,TREATED,250,CI,NO,NONE,DONATED,KITCHENER,N,6,4,0,N,N,7.75,N,Y,64.7341334511691,1,1954,70.0
0,KIT 5,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,6,21,N,N,9.35,N,N,184.732196869416,8,1996,28.0
0,KIT 5,TREATED,200,DI,NO,NONE,DONATED,KITCHENER,N,7,6,19,N,N,8.5,N,Y,47.4297325473115,1,1971,53.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,2,22,N,N,8.5,N,N,15.4823738952461,8,1975,49.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,2,9,N,N,7.75,N,N,128.120402032481,1,1950,74.0
0,KIT 4,TREATED,200,DI,NO,NONE,DONATED,KITCHENER,N,6,1,8,N,N,8.5,N,N,42.2443011723169,1,1967,57.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,5,2,36,N,N,4.95,N,N,122.343976623187,1,1952,55.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,4,6,N,N,7.75,N,N,12.7319372770939,1,1953,71.0
0,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,6,4,6,N,N,7.75,N,N,235.224957317111,1,1953,71.0
1,KIT 2W,TREATED,150,DI,NO,NONE,DONATED,KITCHENER,N,6,5,30,N,N,7.3,N,N,159.160540046253,1,1977,28.0
